country,iso2,iso3,cases,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-27,3.124526390310439e-7,903,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-28,2.3044679689332806e-7,666,2890038000
United States,US,USA,0,en.wikipedia,Q9690,Fatigue,235562,2022-01-28,1.6228160321767398e-7,469,2890038000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-01-28,1.7197005714111716e-7,497,2890038000
United States,US,USA,0,en.wikipedia,Q86,Headache,69893,2022-01-28,4.197176646120224e-7,1213,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-28,2.508617533748691e-7,725,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-28,3.152207687234562e-7,911,2890038000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-01-28,5.934178028108972e-7,1715,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-28,8.09677935030612e-7,2340,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-29,2.2733265098936417e-7,657,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-29,2.982659743574306e-7,862,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-29,2.7646695302968337e-7,799,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-30,2.442874453553898e-7,706,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-30,2.761209368181318e-7,798,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-30,7.86148832645107e-7,2272,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-31,2.826952448376112e-7,817,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-31,3.155667849350078e-7,912,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-31,1.0110593701536104e-6,2922,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-01,2.0619259168827374e-7,581,2817754000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-02-01,1.8241478851595988e-7,514,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-01,2.4913459443230317e-7,702,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-01,3.4318112936757434e-7,967,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Herpes zoster,443800,2022-02-01,6.551317112849454e-7,1846,2817754000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-02-01,1.877381772858809e-7,529,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-02,2.001594177490299e-7,564,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-02,2.629754052340978e-7,741,2817754000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-02,3.4673005521418834e-7,977,2817754000
United States,US,USA,0,en.wikipedia,Q182155,Shingles,443800,2022-02-02,6.185777750648212e-7,1743,2817754000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-02-02,7.729560493925304e-7,2178,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-03,2.5552266095620836e-7,720,2817754000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-02-04,2.054828065189509e-7,579,2817754000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-04,2.821396048058134e-7,795,2817754000
