country,iso2,iso3,project,wikidata_id,page_id,page_title,date,roll_pct_pageviews,roll_cases,roll_n_articles,roll_n_studies
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-10-09,8.489344542290066e-8,82.14285714285714,2,9.285714285714286
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-10-10,1.8801705614265173e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-10-10,1.5574473649552467e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-10-10,2.145247018986126e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-10-10,1.7722676911559703e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-10-10,3.3247879844093656e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-10-10,5.798177978738799e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-10-10,1.55202758608321e-7,81,1.7142857142857142,9.285714285714286
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-10-10,1.6121378608457978e-7,81,1.7142857142857142,9.285714285714286
