country,iso3,date,cases
Australia,AUS,2022-12-21,0
Australia,AUS,2022-12-28,0
Australia,AUS,2023-01-04,0
Australia,AUS,2023-01-11,0
Australia,AUS,2023-01-18,0
Australia,AUS,2023-01-25,0
Australia,AUS,2023-02-01,0
Australia,AUS,2023-02-08,0
Australia,AUS,2023-02-15,0
Australia,AUS,2023-02-22,0
Australia,AUS,2023-03-01,0
Australia,AUS,2023-03-08,0
Australia,AUS,2023-03-15,0
Australia,AUS,2023-03-22,0
Australia,AUS,2023-03-29,0
Australia,AUS,2023-04-05,0
Australia,AUS,2023-04-12,0
Australia,AUS,2023-04-19,0
Australia,AUS,2023-04-26,0
Australia,AUS,2023-05-03,0
Australia,AUS,2023-05-10,1
Australia,AUS,2023-05-17,0
Australia,AUS,2023-05-24,0
Australia,AUS,2023-05-31,0
Australia,AUS,2023-06-07,0
Australia,AUS,2023-06-14,0
Australia,AUS,2023-06-21,0
Australia,AUS,2023-06-28,0
Australia,AUS,2023-07-05,0
Australia,AUS,2023-07-12,0
Australia,AUS,2023-07-19,0
Australia,AUS,2023-07-26,0
Australia,AUS,2023-08-02,0
Australia,AUS,2023-08-09,2
Australia,AUS,2023-08-16,0
Australia,AUS,2023-08-23,8
Australia,AUS,2023-08-30,0
Australia,AUS,2023-09-06,0
Australia,AUS,2023-09-13,0
Australia,AUS,2023-09-20,0
Australia,AUS,2023-09-27,1
Austria,AUT,2022-05-25,1
Austria,AUT,2022-06-01,0
Austria,AUT,2022-06-08,0
Austria,AUT,2022-06-15,3
Austria,AUT,2022-06-22,7
Austria,AUT,2022-06-29,9
Austria,AUT,2022-07-06,17
Austria,AUT,2022-07-13,26
Austria,AUT,2022-07-20,25
Austria,AUT,2022-07-27,23
Austria,AUT,2022-08-03,24
Austria,AUT,2022-08-10,40
Austria,AUT,2022-08-17,35
Austria,AUT,2022-08-24,21
Austria,AUT,2022-08-31,34
Austria,AUT,2022-09-07,13
Austria,AUT,2022-09-14,14
Austria,AUT,2022-09-21,12
Austria,AUT,2022-09-28,5
Austria,AUT,2022-10-05,5
Austria,AUT,2022-10-12,3
Austria,AUT,2022-10-19,4
Austria,AUT,2022-10-26,2
Austria,AUT,2022-11-02,0
Austria,AUT,2022-11-09,2
Austria,AUT,2022-11-16,0
Austria,AUT,2022-11-23,1
Austria,AUT,2022-11-30,0
Austria,AUT,2022-12-07,1
Austria,AUT,2022-12-14,0
Austria,AUT,2022-12-21,0
Austria,AUT,2022-12-28,0
Austria,AUT,2023-01-04,0
Austria,AUT,2023-01-11,0
Austria,AUT,2023-01-18,0
Austria,AUT,2023-01-25,0
Austria,AUT,2023-02-01,0
Austria,AUT,2023-02-08,0
Austria,AUT,2023-02-15,0
Austria,AUT,2023-02-22,0
Austria,AUT,2023-03-01,0
Austria,AUT,2023-03-08,0
Austria,AUT,2023-03-15,0
Austria,AUT,2023-03-22,0
Austria,AUT,2023-03-29,0
Austria,AUT,2023-04-05,0
Austria,AUT,2023-04-12,0
Austria,AUT,2023-04-19,1
Austria,AUT,2023-04-26,0
Austria,AUT,2023-05-03,0
Austria,AUT,2023-05-10,0
Austria,AUT,2023-05-17,0
Austria,AUT,2023-05-24,0
Austria,AUT,2023-05-31,0
Austria,AUT,2023-06-07,0
Austria,AUT,2023-06-14,0
Austria,AUT,2023-06-21,0
Austria,AUT,2023-06-28,0
Austria,AUT,2023-07-05,0
Austria,AUT,2023-07-12,0
Austria,AUT,2023-07-19,0
Austria,AUT,2023-07-26,0
Austria,AUT,2023-08-02,0
Austria,AUT,2023-08-09,0
Austria,AUT,2023-08-16,0
Austria,AUT,2023-08-23,0
Austria,AUT,2023-08-30,0
Austria,AUT,2023-09-06,0
Austria,AUT,2023-09-13,0
Austria,AUT,2023-09-20,1
Austria,AUT,2023-09-27,0
Austria,AUT,2023-10-04,1
Austria,AUT,2023-10-11,0
Austria,AUT,2023-10-18,0
Austria,AUT,2023-10-25,0
Austria,AUT,2023-11-01,1
Austria,AUT,2023-11-08,0
Austria,AUT,2023-11-15,0
Austria,AUT,2023-11-22,0
Austria,AUT,2023-11-29,0
Austria,AUT,2023-12-06,2
Austria,AUT,2023-12-13,0
Austria,AUT,2023-12-20,0
Austria,AUT,2023-12-27,0
Austria,AUT,2024-01-03,5
Austria,AUT,2024-01-10,0
Austria,AUT,2024-01-17,0
Austria,AUT,2024-01-24,0
Austria,AUT,2024-01-31,0
Austria,AUT,2024-02-07,3
Austria,AUT,2024-02-14,0
Austria,AUT,2024-02-21,0
Austria,AUT,2024-02-28,0
Austria,AUT,2024-03-06,4
Bahamas,BHS,2022-06-29,1
Bahamas,BHS,2022-07-06,0
Bahamas,BHS,2022-07-13,0
Bahamas,BHS,2022-07-20,0
Bahamas,BHS,2022-07-27,0
Bahamas,BHS,2022-08-03,0
Bahamas,BHS,2022-08-10,0
Bahamas,BHS,2022-08-17,1
Bahamas,BHS,2022-08-24,0
Bahamas,BHS,2022-08-31,0
Bahamas,BHS,2022-09-07,0
Bahamas,BHS,2022-09-14,0
Bahamas,BHS,2022-09-21,0
Bahamas,BHS,2022-09-28,0
Bahamas,BHS,2022-10-05,0
Bahamas,BHS,2022-10-12,0
Bahamas,BHS,2022-10-19,0
Bahamas,BHS,2022-10-26,0
Bahamas,BHS,2022-11-02,0
Bahamas,BHS,2022-11-09,0
Bahamas,BHS,2022-11-16,0
Bahamas,BHS,2022-11-23,0
Bahamas,BHS,2022-11-30,0
Bahamas,BHS,2022-12-07,0
Bahamas,BHS,2022-12-14,0
Bahamas,BHS,2022-12-21,0
Bahamas,BHS,2022-12-28,0
Bahamas,BHS,2023-01-04,0
Bahamas,BHS,2023-01-11,0
Bahamas,BHS,2023-01-18,0
Bahamas,BHS,2023-01-25,0
Bahamas,BHS,2023-02-01,0
Bahamas,BHS,2023-02-08,0
Bahamas,BHS,2023-02-15,0
Bahamas,BHS,2023-02-22,0
Bahamas,BHS,2023-03-01,0
Bahamas,BHS,2023-03-08,0
Bahamas,BHS,2023-03-15,0
Bahamas,BHS,2023-03-22,0
Bahamas,BHS,2023-03-29,0
Bahamas,BHS,2023-04-05,0
Bahamas,BHS,2023-04-12,0
Bahamas,BHS,2023-04-19,0
Bahamas,BHS,2023-04-26,0
Bahamas,BHS,2023-05-03,0
Bahamas,BHS,2023-05-10,0
Bahamas,BHS,2023-05-17,0
Bahamas,BHS,2023-05-24,0
Bahamas,BHS,2023-05-31,0
Bahamas,BHS,2023-06-07,0
Bahamas,BHS,2023-06-14,0
Bahamas,BHS,2023-06-21,1
Bahamas,BHS,2023-06-28,0
Bahamas,BHS,2023-07-05,0
Bahamas,BHS,2023-07-12,0
Bahamas,BHS,2023-07-19,0
Bahamas,BHS,2023-07-26,0
Bahamas,BHS,2023-08-02,0
Bahamas,BHS,2023-08-09,0
Bahamas,BHS,2023-08-16,0
Bahamas,BHS,2023-08-23,0
Bahamas,BHS,2023-08-30,0
Bahamas,BHS,2023-09-06,0
Bahamas,BHS,2023-09-13,0
Bahamas,BHS,2023-09-20,0
Bahamas,BHS,2023-09-27,0
Bahamas,BHS,2023-10-04,0
Bahamas,BHS,2023-10-11,0
Bahamas,BHS,2023-10-18,0
Bahamas,BHS,2023-10-25,0
Bahamas,BHS,2023-11-01,0
Bahamas,BHS,2023-11-08,0
Bahamas,BHS,2023-11-15,0
Bahamas,BHS,2023-11-22,0
Bahamas,BHS,2023-11-29,0
Bahamas,BHS,2023-12-06,0
Bahamas,BHS,2023-12-13,0
