country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-01-23,1.1360297936938618e-6,1017,895223000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-23,6.3776163019312605e-6,5109,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-23,1.540464173827472e-6,4452,2890038000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-23,1.4304310185540813e-6,4134,2890038000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-23,9.513950460793286e-7,999,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-23,8.56736139801622e-7,2476,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-23,4.899589555569857e-7,1416,2890038000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-01-23,4.0318302387267906e-6,456,113100000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-01-23,1.147043741293367e-6,3315,2890038000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-23,8.206300996299049e-7,455,554452000
France,FR,en.wikipedia,Q86,Headache,69893,2022-01-23,9.921343021512897e-6,695,70051000
United States of America,US,en.wikipedia,Q9690,Fatigue,235562,2022-01-23,1.6228160321767395e-7,469,2890038000
United States of America,US,en.wikipedia,Q86,Headache,69893,2022-01-23,4.197176646120224e-7,1213,2890038000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-23,8.09677935030612e-7,2340,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-23,2.3618027095819036e-6,1892,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-23,6.903154854116241e-7,553,801083000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-23,6.333617433868433e-7,567,895223000
India,IN,hi.wikipedia,Q949302,चर्म रोग,41879,2022-01-30,8.403972787135737e-6,462,54974000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-30,5.0078681847634915e-6,2705,540150000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-30,7.558517656722213e-6,6055,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-30,1.7688348734514909e-6,5112,2890038000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-30,1.8743698179747118e-6,5417,2890038000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-30,5.298925786181671e-6,2938,554452000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-30,2.5508315115579794e-6,7372,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-30,4.128161501367524e-6,3307,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-30,1.2420685497008426e-6,995,801083000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-30,5.071362107541919e-7,454,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-30,4.35127524077723e-6,4569,1050037000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-30,6.387459265241495e-7,1846,2890038000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-30,5.965319487148612e-7,1724,2890038000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-01-30,3.3944190353206427e-7,981,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-30,1.778523327374934e-7,514,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-30,3.855951017737375e-6,990,256746000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-01-30,1.194101946064377e-6,3451,2890038000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-01-30,5.629882163438607e-7,504,895223000
Germany,DE,de.wikipedia,Q199615,Enzephalitis,335153,2022-01-30,8.288779065340295e-7,664,801083000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-30,4.638180508046415e-6,1120,241474000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-30,1.577833924675039e-7,456,2890038000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-02-06,4.5457519904024434e-6,2084,458450000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-02-06,3.973519485389564e-6,2755,693340000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-02-06,1.0770989944473507e-6,3035,2817754000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-02-06,1.9984001442283464e-6,5631,2817754000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-02-06,3.722710079851357e-6,1683,452090000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-02-06,9.819877817580952e-7,2767,2817754000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-02-06,6.505181076843471e-7,1833,2817754000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-02-06,6.801810103538664e-7,513,754211000
