country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-11,1.7538756907836018e-6,1405,801083000
United States of America,US,en.wikipedia,Q167844,Conjunctivitis,44410,2022-01-11,1.9169298119955517e-7,554,2890038000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-11,5.685734169028276e-7,509,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-11,1.0313922271310439e-6,1083,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-11,2.0172745133454992e-7,583,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-11,2.0207346754610148e-7,584,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-12,2.126615409782431e-6,546,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-12,1.7883921133018605e-6,966,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-12,1.709791726523461e-6,607,355014000
Switzerland,CH,de.wikipedia,Q12214,Pocken,4049,2022-01-12,1.0671665336575044e-5,575,53881000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-12,2.5376407696247826e-6,1407,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-12,5.618711762320674e-7,503,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-12,2.159141160081632e-7,624,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-12,9.782373154196205e-6,632,64606000
Australia,AU,en.wikipedia,Q186235,Myocarditis,452461,2022-01-12,1.8830280018250292e-6,487,258626000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-12,9.470463710165749e-7,2737,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-12,1.9261424846114574e-6,1543,801083000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-13,1.7565999080803596e-6,451,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-13,1.7106359344626493e-6,924,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-13,1.7464100007323654e-6,620,355014000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-13,5.366711441164442e-7,1551,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-13,3.204110118967294e-7,926,2890038000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-13,5.804641965938611e-7,465,801083000
United States of America,US,en.wikipedia,Q167844,Conjunctivitis,44410,2022-01-13,1.6781786260249864e-7,485,2890038000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-13,9.25681666455563e-7,972,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-13,2.1245395389264778e-7,614,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-13,1.7335412198732336e-7,501,2890038000
United Kingdom,GB,en.wikipedia,Q40878,Diarrhea,53951,2022-01-14,5.462326146669601e-7,489,895223000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-14,1.497732111450523e-6,809,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-14,7.684204003222407e-6,2728,355014000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-14,5.640064248290161e-7,1630,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-14,2.3736712112435892e-7,686,2890038000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-14,5.742226460928518e-7,460,801083000
France,FR,fr.wikipedia,Q186235,Myocardite,191116,2022-01-14,2.188281033046376e-6,1182,540150000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-14,2.0726371071937463e-7,599,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-14,1.8788680287248818e-7,543,2890038000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-15,1.686568545774322e-6,911,540150000
France,FR,fr.wikipedia,Q6473911,Herpès,133880,2022-01-15,9.182634453392576e-7,496,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-15,5.760336212093044e-6,2045,355014000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-15,1.0123794912637018e-6,811,801083000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-15,8.296480128126511e-7,460,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-15,2.9549784466501825e-7,854,2890038000
Italy,IT,it.wikipedia,Q186235,Miocardite,800911,2022-01-15,8.81951909272579e-7,489,554452000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-01-15,4.332449160035367e-6,490,113100000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-15,2.3500681754236618e-6,1303,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-15,1.4152898216422054e-6,1267,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-15,1.6158957079457086e-7,467,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-15,8.079744915332941e-6,522,64606000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-15,2.2731900711047206e-6,547,240631000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-15,1.8462506381985387e-6,1479,801083000
Australia,AU,en.wikipedia,Q186235,Myocarditis,452461,2022-01-15,2.3199523636448e-6,600,258626000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-15,9.269774307465854e-7,2679,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-15,1.390617451624863e-6,1114,801083000
Israel,IL,he.wikipedia,Q38933,חום (תסמין),53186,2022-01-15,7.394024049556663e-6,487,65864000
France,FR,fr.wikipedia,Q186235,Myocardite,191116,2022-01-15,1.5384615384615385e-6,831,540150000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-15,5.2500885254288595e-07,470,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-15,7.114035029241827e-7,747,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-15,2.093398079886839e-7,605,2890038000
Brazil,BR,pt.wikipedia,Q186235,Miocardite,665998,2022-01-15,2.4477589702384437e-6,460,187927000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-16,2.0097684092449347e-6,516,256746000
United Kingdom,GB,en.wikipedia,Q40878,Diarrhea,53951,2022-01-16,8.969832097700796e-7,803,895223000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-16,8.508675851732288e-6,738,86735000
