search_term,date,n_articles
monkeypox,2022-11-06,0
monkeypox,2022-11-07,0
monkeypox,2022-11-08,1
monkeypox,2022-11-09,2
monkeypox,2022-11-10,1
monkeypox,2022-11-11,0
monkeypox,2022-11-12,0
monkeypox,2022-11-13,0
monkeypox,2022-11-14,0
monkeypox,2022-11-15,0
monkeypox,2022-11-16,0
monkeypox,2022-11-17,2
monkeypox,2022-11-18,2
monkeypox,2022-11-19,0
monkeypox,2022-11-20,0
monkeypox,2022-11-21,0
monkeypox,2022-11-22,0
monkeypox,2022-11-23,2
monkeypox,2022-11-24,0
monkeypox,2022-11-25,0
monkeypox,2022-11-26,0
monkeypox,2022-11-27,0
monkeypox,2022-11-28,26
mpox,2022-11-28,26
monkeypox,2022-11-29,1
mpox,2022-11-29,1
monkeypox,2022-11-30,0
mpox,2022-11-30,0
monkeypox,2022-12-01,4
mpox,2022-12-01,2
monkeypox,2022-12-02,3
mpox,2022-12-02,9
monkeypox,2022-12-03,1
mpox,2022-12-03,1
monkeypox,2022-12-04,0
mpox,2022-12-04,0
monkeypox,2022-12-05,0
mpox,2022-12-05,0
monkeypox,2022-12-06,0
mpox,2022-12-06,0
monkeypox,2022-12-07,0
mpox,2022-12-07,0
monkeypox,2022-12-08,0
mpox,2022-12-08,1
monkeypox,2022-12-09,0
mpox,2022-12-09,1
monkeypox,2022-12-10,0
mpox,2022-12-10,0
monkeypox,2022-12-11,0
mpox,2022-12-11,0
monkeypox,2022-12-12,0
mpox,2022-12-12,0
monkeypox,2022-12-13,0
mpox,2022-12-13,0
monkeypox,2022-12-14,0
mpox,2022-12-14,0
monkeypox,2022-12-15,0
mpox,2022-12-15,0
monkeypox,2022-12-16,0
mpox,2022-12-16,0
monkeypox,2022-12-17,0
mpox,2022-12-17,0
monkeypox,2022-12-18,0
mpox,2022-12-18,0
monkeypox,2022-12-19,0
mpox,2022-12-19,0
monkeypox,2022-12-20,0
mpox,2022-12-20,0
monkeypox,2022-12-21,0
mpox,2022-12-21,1
monkeypox,2022-12-22,1
mpox,2022-12-22,0
monkeypox,2022-12-23,0
mpox,2022-12-23,0
monkeypox,2022-12-24,0
mpox,2022-12-24,0
monkeypox,2022-12-25,0
mpox,2022-12-25,0
monkeypox,2022-12-26,0
mpox,2022-12-26,0
monkeypox,2022-12-27,1
mpox,2022-12-27,1
monkeypox,2022-12-28,0
mpox,2022-12-28,0
monkeypox,2022-12-29,0
mpox,2022-12-29,0
monkeypox,2022-12-30,1
mpox,2022-12-30,0
monkeypox,2022-12-31,0
mpox,2022-12-31,0
monkeypox,2023-01-01,0
mpox,2023-01-01,0
monkeypox,2023-01-02,0
mpox,2023-01-02,0
monkeypox,2023-01-03,0
mpox,2023-01-03,0
monkeypox,2023-01-04,0
mpox,2023-01-04,0
monkeypox,2023-01-05,1
mpox,2023-01-05,1
monkeypox,2023-01-06,0
mpox,2023-01-06,0
monkeypox,2023-01-07,0
mpox,2023-01-07,0
monkeypox,2023-01-08,0
mpox,2023-01-08,0
monkeypox,2023-01-09,0
mpox,2023-01-09,0
monkeypox,2023-01-10,0
mpox,2023-01-10,3
monkeypox,2023-01-11,1
mpox,2023-01-11,2
monkeypox,2023-01-12,0
mpox,2023-01-12,0
monkeypox,2023-01-13,0
mpox,2023-01-13,0
monkeypox,2023-01-14,0
mpox,2023-01-14,0
monkeypox,2023-01-15,0
mpox,2023-01-15,0
monkeypox,2023-01-16,1
mpox,2023-01-16,0
monkeypox,2023-01-17,0
mpox,2023-01-17,0
monkeypox,2023-01-18,0
mpox,2023-01-18,0
monkeypox,2023-01-19,0
mpox,2023-01-19,0
monkeypox,2023-01-20,0
mpox,2023-01-20,0
monkeypox,2023-01-21,0
mpox,2023-01-21,0
monkeypox,2023-01-22,0
mpox,2023-01-22,0
monkeypox,2023-01-23,0
mpox,2023-01-23,0
monkeypox,2023-01-24,0
mpox,2023-01-24,0
monkeypox,2023-01-25,0
mpox,2023-01-25,0
monkeypox,2023-01-26,0
mpox,2023-01-26,0
monkeypox,2023-01-27,0
mpox,2023-01-27,0
monkeypox,2023-01-28,0
mpox,2023-01-28,0
monkeypox,2023-01-29,0
mpox,2023-01-29,0
monkeypox,2023-01-30,0
mpox,2023-01-30,0
monkeypox,2023-01-31,1
mpox,2023-01-31,1
monkeypox,2023-02-01,2
mpox,2023-02-01,2
monkeypox,2023-02-02,0
mpox,2023-02-02,0
monkeypox,2023-02-03,0
mpox,2023-02-03,0
monkeypox,2023-02-04,0
mpox,2023-02-04,0
monkeypox,2023-02-05,0
mpox,2023-02-05,0
