project,page_name,redirect_name,date,views
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-15,3
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-16,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-17,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-18,10
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-19,24
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-20,20
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-21,31
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-22,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-23,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-24,17
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-25,8
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-26,16
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-27,10
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-28,8
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-29,2
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-30,16
ru.wikipedia,Вирус оспы обезьян,NA,2022-10-31,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-01,10
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-02,15
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-03,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-04,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-05,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-06,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-07,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-08,20
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-09,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-10,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-11,16
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-12,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-13,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-14,24
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-15,18
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-16,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-17,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-18,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-19,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-20,15
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-21,21
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-22,16
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-23,22
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-24,16
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-25,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-26,16
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-27,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-28,20
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-29,20
ru.wikipedia,Вирус оспы обезьян,NA,2022-11-30,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-01,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-02,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-03,7
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-04,7
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-05,3
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-06,7
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-07,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-08,11
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-09,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-10,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-11,10
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-12,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-13,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-14,5
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-15,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-16,13
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-17,15
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-18,8
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-19,12
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-20,5
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-21,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-22,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-23,5
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-24,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-25,14
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-26,8
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-27,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-28,9
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-29,8
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-30,4
ru.wikipedia,Вирус оспы обезьян,NA,2022-12-31,3
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-01,2
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-02,8
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-03,6
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-04,4
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-05,8
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-06,9
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-07,4
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-08,8
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-09,7
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-10,13
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-11,12
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-12,6
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-13,4
ru.wikipedia,Вирус оспы обезьян,NA,2023-01-14,7
