country_long,iso2,project,page_title,date,pageviews
United States of America,US,en.wikipedia,Chickenpox,2022-01-05,956
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-05,523
United States of America,US,en.wikipedia,Diarrhea,2022-01-05,657
United States of America,US,en.wikipedia,Encephalitis,2022-01-05,663
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-05,556
United States of America,US,en.wikipedia,Fever,2022-01-05,655
United States of America,US,en.wikipedia,Herd immunity,2022-01-05,826
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-05,820
United States of America,US,en.wikipedia,Index case,2022-01-05,1186
United States of America,US,en.wikipedia,Infection,2022-01-05,693
United States of America,US,en.wikipedia,Kaposi's sarcoma,2022-01-05,451
United States of America,US,en.wikipedia,Myocarditis,2022-01-05,2793
United States of America,US,en.wikipedia,Scabies,2022-01-05,664
United States of America,US,en.wikipedia,Sepsis,2022-01-05,2936
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-05,455
United States of America,US,en.wikipedia,Skin condition,2022-01-05,456
United States of America,US,en.wikipedia,Smallpox,2022-01-05,3222
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-05,1152
United States of America,US,en.wikipedia,Sore throat,2022-01-05,994
United States of America,US,en.wikipedia,Virus,2022-01-05,1789
United States of America,US,en.wikipedia,World Health Organization,2022-01-05,1175
United States of America,US,en.wikipedia,Asymptomatic,2022-01-06,1695
United States of America,US,en.wikipedia,Chickenpox,2022-01-06,873
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-06,493
United States of America,US,en.wikipedia,Diarrhea,2022-01-06,567
United States of America,US,en.wikipedia,Encephalitis,2022-01-06,507
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-06,626
United States of America,US,en.wikipedia,Fever,2022-01-06,652
United States of America,US,en.wikipedia,Herd immunity,2022-01-06,841
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-06,712
United States of America,US,en.wikipedia,Index case,2022-01-06,786
United States of America,US,en.wikipedia,Infection,2022-01-06,662
United States of America,US,en.wikipedia,Myocarditis,2022-01-06,2605
United States of America,US,en.wikipedia,Rubella,2022-01-06,741
United States of America,US,en.wikipedia,Scabies,2022-01-06,680
United States of America,US,en.wikipedia,Sepsis,2022-01-06,2524
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-06,593
United States of America,US,en.wikipedia,Skin condition,2022-01-06,480
United States of America,US,en.wikipedia,Smallpox,2022-01-06,3060
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-06,1146
United States of America,US,en.wikipedia,Sore throat,2022-01-06,916
United States of America,US,en.wikipedia,Virus,2022-01-06,1891
United States of America,US,en.wikipedia,World Health Organization,2022-01-06,964
United States of America,US,en.wikipedia,Asymptomatic,2022-01-07,1451
United States of America,US,en.wikipedia,Chickenpox,2022-01-07,967
United States of America,US,en.wikipedia,Diarrhea,2022-01-07,507
United States of America,US,en.wikipedia,Encephalitis,2022-01-07,517
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-07,869
United States of America,US,en.wikipedia,Fever,2022-01-07,611
United States of America,US,en.wikipedia,Herd immunity,2022-01-07,816
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-07,998
United States of America,US,en.wikipedia,Index case,2022-01-07,863
United States of America,US,en.wikipedia,Infection,2022-01-07,607
United States of America,US,en.wikipedia,Myocarditis,2022-01-07,2795
United States of America,US,en.wikipedia,Scabies,2022-01-07,699
United States of America,US,en.wikipedia,Sepsis,2022-01-07,2361
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-07,494
United States of America,US,en.wikipedia,Smallpox,2022-01-07,3242
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-07,1253
United States of America,US,en.wikipedia,Sore throat,2022-01-07,883
United States of America,US,en.wikipedia,Virus,2022-01-07,1771
United States of America,US,en.wikipedia,World Health Organization,2022-01-07,1156
United States of America,US,en.wikipedia,Asymptomatic,2022-01-08,1384
United States of America,US,en.wikipedia,Chickenpox,2022-01-08,906
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-08,520
United States of America,US,en.wikipedia,Diarrhea,2022-01-08,593
United States of America,US,en.wikipedia,Encephalitis,2022-01-08,563
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-08,681
United States of America,US,en.wikipedia,Fever,2022-01-08,567
United States of America,US,en.wikipedia,Herd immunity,2022-01-08,692
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-08,597
United States of America,US,en.wikipedia,Index case,2022-01-08,915
United States of America,US,en.wikipedia,Infection,2022-01-08,620
United States of America,US,en.wikipedia,Myocarditis,2022-01-08,2300
United States of America,US,en.wikipedia,Scabies,2022-01-08,588
United States of America,US,en.wikipedia,Sepsis,2022-01-08,2472
United States of America,US,en.wikipedia,Shingles,2022-01-08,1508
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-08,454
United States of America,US,en.wikipedia,Smallpox,2022-01-08,2834
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-08,1173
United States of America,US,en.wikipedia,Sore throat,2022-01-08,781
United States of America,US,en.wikipedia,Virus,2022-01-08,1451
United States of America,US,en.wikipedia,World Health Organization,2022-01-08,820
United States of America,US,en.wikipedia,Asymptomatic,2022-01-09,1474
United States of America,US,en.wikipedia,Chickenpox,2022-01-09,877
United States of America,US,en.wikipedia,Diarrhea,2022-01-09,549
United States of America,US,en.wikipedia,Encephalitis,2022-01-09,662
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-09,1043
United States of America,US,en.wikipedia,Fever,2022-01-09,583
United States of America,US,en.wikipedia,Herd immunity,2022-01-09,618
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-09,727
United States of America,US,en.wikipedia,Index case,2022-01-09,1003
United States of America,US,en.wikipedia,Infection,2022-01-09,644
United States of America,US,en.wikipedia,Myocarditis,2022-01-09,2497
United States of America,US,en.wikipedia,Scabies,2022-01-09,606
United States of America,US,en.wikipedia,Sepsis,2022-01-09,2483
United States of America,US,en.wikipedia,Shingles,2022-01-09,1500
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-09,515
United States of America,US,en.wikipedia,Smallpox,2022-01-09,2862
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-09,992
United States of America,US,en.wikipedia,Sore throat,2022-01-09,722
United States of America,US,en.wikipedia,Virus,2022-01-09,1448
United States of America,US,en.wikipedia,World Health Organization,2022-01-09,1634
United States of America,US,en.wikipedia,Asymptomatic,2022-01-10,1735
United States of America,US,en.wikipedia,Chickenpox,2022-01-10,858
United States of America,US,en.wikipedia,Diarrhea,2022-01-10,723
United States of America,US,en.wikipedia,Encephalitis,2022-01-10,557
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-10,1009
United States of America,US,en.wikipedia,Fever,2022-01-10,566
United States of America,US,en.wikipedia,Herd immunity,2022-01-10,538
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-10,787
United States of America,US,en.wikipedia,Index case,2022-01-10,779
United States of America,US,en.wikipedia,Infection,2022-01-10,741
United States of America,US,en.wikipedia,Myocarditis,2022-01-10,2654
United States of America,US,en.wikipedia,Scabies,2022-01-10,815
United States of America,US,en.wikipedia,Sepsis,2022-01-10,2399
United States of America,US,en.wikipedia,Smallpox,2022-01-10,2818
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-10,942
United States of America,US,en.wikipedia,Sore throat,2022-01-10,696
United States of America,US,en.wikipedia,Virus,2022-01-10,1732
United States of America,US,en.wikipedia,World Health Organization,2022-01-10,969
United States of America,US,en.wikipedia,Asymptomatic,2022-01-11,1731
United States of America,US,en.wikipedia,Chickenpox,2022-01-11,1081
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-11,554
United States of America,US,en.wikipedia,Diarrhea,2022-01-11,646
United States of America,US,en.wikipedia,Encephalitis,2022-01-11,583
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-11,1095
United States of America,US,en.wikipedia,Fever,2022-01-11,584
United States of America,US,en.wikipedia,Herd immunity,2022-01-11,650
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-11,806
United States of America,US,en.wikipedia,Index case,2022-01-11,706
United States of America,US,en.wikipedia,Infection,2022-01-11,707
United States of America,US,en.wikipedia,Myocarditis,2022-01-11,2742
United States of America,US,en.wikipedia,Scabies,2022-01-11,613
United States of America,US,en.wikipedia,Sepsis,2022-01-11,2253
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-11,504
United States of America,US,en.wikipedia,Smallpox,2022-01-11,2623
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-11,924
United States of America,US,en.wikipedia,Sore throat,2022-01-11,698
United States of America,US,en.wikipedia,Virus,2022-01-11,1730
United States of America,US,en.wikipedia,World Health Organization,2022-01-11,954
United States of America,US,en.wikipedia,Asymptomatic,2022-01-12,1837
United States of America,US,en.wikipedia,Chickenpox,2022-01-12,973
United States of America,US,en.wikipedia,Clade,2022-01-12,457
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-12,536
United States of America,US,en.wikipedia,Diarrhea,2022-01-12,624
United States of America,US,en.wikipedia,Encephalitis,2022-01-12,592
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-12,1309
United States of America,US,en.wikipedia,Fever,2022-01-12,581
United States of America,US,en.wikipedia,Herd immunity,2022-01-12,668
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-12,866
United States of America,US,en.wikipedia,Index case,2022-01-12,722
United States of America,US,en.wikipedia,Infection,2022-01-12,668
United States of America,US,en.wikipedia,Lymphadenopathy,2022-01-12,459
United States of America,US,en.wikipedia,Myocarditis,2022-01-12,2586
United States of America,US,en.wikipedia,Scabies,2022-01-12,670
United States of America,US,en.wikipedia,Sepsis,2022-01-12,2456
United States of America,US,en.wikipedia,Signs and symptoms,2022-01-12,543
United States of America,US,en.wikipedia,Skin condition,2022-01-12,475
United States of America,US,en.wikipedia,Smallpox,2022-01-12,2737
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-12,1126
United States of America,US,en.wikipedia,Sore throat,2022-01-12,719
United States of America,US,en.wikipedia,Virus,2022-01-12,2030
United States of America,US,en.wikipedia,World Health Organization,2022-01-12,1203
United States of America,US,en.wikipedia,Asymptomatic,2022-01-13,1493
United States of America,US,en.wikipedia,Chickenpox,2022-01-13,910
United States of America,US,en.wikipedia,Clade,2022-01-13,462
United States of America,US,en.wikipedia,Conjunctivitis,2022-01-13,485
United States of America,US,en.wikipedia,Diarrhea,2022-01-13,642
United States of America,US,en.wikipedia,Encephalitis,2022-01-13,614
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-13,1471
United States of America,US,en.wikipedia,Fever,2022-01-13,501
United States of America,US,en.wikipedia,Herd immunity,2022-01-13,668
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-13,1135
United States of America,US,en.wikipedia,Index case,2022-01-13,730
United States of America,US,en.wikipedia,Infection,2022-01-13,678
United States of America,US,en.wikipedia,Kaposi's sarcoma,2022-01-13,552
United States of America,US,en.wikipedia,Myocarditis,2022-01-13,2600
United States of America,US,en.wikipedia,Rubella,2022-01-13,458
United States of America,US,en.wikipedia,Scabies,2022-01-13,845
United States of America,US,en.wikipedia,Sepsis,2022-01-13,2141
United States of America,US,en.wikipedia,Skin condition,2022-01-13,462
United States of America,US,en.wikipedia,Smallpox,2022-01-13,2878
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-13,1235
United States of America,US,en.wikipedia,Sore throat,2022-01-13,926
United States of America,US,en.wikipedia,Virus,2022-01-13,1892
United States of America,US,en.wikipedia,World Health Organization,2022-01-13,1530
United States of America,US,en.wikipedia,Asymptomatic,2022-01-14,1222
United States of America,US,en.wikipedia,Chickenpox,2022-01-14,856
United States of America,US,en.wikipedia,Diarrhea,2022-01-14,590
United States of America,US,en.wikipedia,Encephalitis,2022-01-14,599
United States of America,US,en.wikipedia,Endemic (epidemiology),2022-01-14,915
United States of America,US,en.wikipedia,Fever,2022-01-14,543
United States of America,US,en.wikipedia,Herd immunity,2022-01-14,619
United States of America,US,en.wikipedia,Herpes simplex virus,2022-01-14,880
United States of America,US,en.wikipedia,Herpesviridae,2022-01-14,952
United States of America,US,en.wikipedia,Index case,2022-01-14,729
United States of America,US,en.wikipedia,Infection,2022-01-14,693
United States of America,US,en.wikipedia,Kaposi's sarcoma,2022-01-14,509
United States of America,US,en.wikipedia,Myocarditis,2022-01-14,5449
United States of America,US,en.wikipedia,Scabies,2022-01-14,990
United States of America,US,en.wikipedia,Sepsis,2022-01-14,2144
United States of America,US,en.wikipedia,Skin condition,2022-01-14,523
United States of America,US,en.wikipedia,Smallpox,2022-01-14,2651
United States of America,US,en.wikipedia,Smallpox vaccine,2022-01-14,1303
United States of America,US,en.wikipedia,Sore throat,2022-01-14,686
United States of America,US,en.wikipedia,Virus,2022-01-14,1698
United States of America,US,en.wikipedia,World Health Organization,2022-01-14,1096
United States of America,US,en.wikipedia,Asymptomatic,2022-01-15,970
United States of America,US,en.wikipedia,Chickenpox,2022-01-15,956
United States of America,US,en.wikipedia,Diarrhea,2022-01-15,467
